T1,T2,T3,T4
95.0292,98.6842,53.5733,55.4192
95.6378,98.6842,54.0187,54.9548
95.3338,98.6842,54.6095,55.1575
94.6154,98.6842,54.7747,55.3506
94.717,98.7522,54.0879,55.902
94.4172,99.0789,53.5753,56.5286
93.071,99.6689,54.0623,56.4427
92.4772,100,54.5455,56.2307
92.7607,100,55.5509,56.3121
92.308,100,56.7953,56.5241
92.0245,100.067,56.7335,56.5501
91.0371,100.403,56.3062,56.4438
90.0865,100.671,56.5466,56.431
90.1796,100.949,57.1923,56.5374
90.0281,101.507,58.136,56.7148
90.5564,101.757,59.5208,57.1486
91.7077,101.633,59.4585,57.4713
92.4405,101.823,57.8551,57.4713
92.963,102.424,56.5946,57.4281
93.4589,103.068,55.4498,56.8879
93.75,103.423,55.0704,56.391
94.2788,103.233,56.768,56.8008
95.6006,103.034,58.0007,57.2312
96.8981,103.151,56.916,57.2519
97.4026,103.034,55.9701,57.2519
97.6343,103.134,56.927,57.3353
98.1152,103.448,57.8995,57.4449
98.7137,103.448,59.0864,57.3976
99.5611,103.448,60.3708,57.2879
100.365,103.618,59.6069,57.3151
100.671,103.977,58.6618,57.4248
100.435,104.167,58.5938,57.6343
99.6052,104.161,58.5938,57.9685
98.4364,103.802,59.7925,58.433
97.6318,103.756,61.2334,59.1251
97.4026,103.862,59.8108,60.6853
96.6432,103.362,57.9193,63.5321
96.412,103.034,57.6039,66.2369
97.5981,103.075,57.4934,68.0319
98.3932,102.565,58.202,66.5347
97.9665,101.329,59.2282,63.7766
95.0147,100.96,58.7332,59.9915
92,101.3,57.5972,56.4358
91.2143,100.711,57.3177,57.6926
91.2594,99.4639,57.4274,59.6027
92.2747,99.0789,58.3052,59.7183
92.9359,98.9927,59.9339,59.3625
92.795,98.1459,59.9747,58.9342
93.0328,97.6987,58.5678,58.4728
93.8005,97.5524,57.9151,58.4469
95.0726,96.4537,57.9151,58.5609
96.5076,93.8084,58.4185,59.5505
97.6244,92.2608,59.703,60.9913
98.0753,92.0937,60.24,61.5655
98.3978,91.3595,59.6424,61.692
99.5744,91.2461,60.6485,60.8818
100.568,90.0043,60.6485,59.7795
101.201,88.3902,60.6485,59.7029
101.996,88.2833,60.6485,59.941
101.752,88.5444,60.6485,59.9101
100.957,87.4915,60.6485,59.7906
100.026,85.9699,60.6485,59.4122
99.6107,85.6912,67.6856,58.9435
99.7351,84.9689,66.6344,58.5037
98.9231,84.2697,64.1643,58.0495
97.2177,84.2697,61.2452,57.6367
96.4963,84.2697,58.8926,57.1963
96.5062,84.4506,56.8621,57.1496
96.5806,84.8552,55.6961,57.3681
97.4089,85.3966,54.7802,57.8197
98.2353,85.9468,55.0272,58.6116
98.3075,85.7898,57.1501,59.1991
98.0392,85.0731,58.5938,59.552
97.81,84.7458,58.5938,59.6198
97.3384,85.0944,58.5177,59.2669
96.8581,85.5787,58.1784,59.7371
96.3871,85.7143,58.0373,61.5903
97.0965,85.4903,58.8417,63.6519
98.543,85.2468,59.4919,65.6045
99.571,85.3837,59.2576,65.4723
100.383,86.8877,58.9056,63.6515
100.548,88.2353,57.4679,60.6914
99.8818,86.9463,56.1798,57.5879
96.8987,86.9463,55.2931,57.0979
95.0382,86.9463,54.3771,57.535
96.0268,86.9463,55.044,57.6923
96.6055,85.6331,55.9599,57.6923
96.7742,87.4806,55.732,57.6923
96.4715,88.8293,55.0144,57.6923
95.7183,90.5285,54.4091,58.4995
94.9637,91.3636,53.6326,60.5176
94.7937,92.6799,53.5106,61.4446
96.1652,93.75,55.324,60.8224
97.7082,94.2014,56.7978,59.7211
98.0265,95.1731,56.4785,58.1051
98.2043,95.9236,56.1798,57.0901
98.6236,96.464,56.1798,56.6596
99.1664,96.5385,56.1798,56.4174
100.063,96.3871,56.6043,56.5238
102.237,96.6228,57.1404,56.6175
104.256,96.7842,58.0425,56.7247
104.368,97.0984,59.1785,56.8064
103.428,97.6572,58.7514,56.0726
102.716,98.1613,57.6154,55.3506
103.304,98.5475,57.0005,55.525
103.373,98.6378,56.5701,55.7308
100.826,98.3153,56.8412,55.8345
98.563,98.3359,57.8286,55.9385
98.2895,98.8885,57.6816,56.3239
98.1599,99.0789,55.9713,56.9648
97.0303,99.0331,54.7967,56.9597
95.5209,99.5263,54.1099,56.3188
94.4763,100,53.5714,55.9701
94.4791,99.1373,55.2613,55.9701
95.7819,99.2432,56.9927,55.9878
97.3151,100.944,56.6617,56.0926
97.3915,101.362,56.2345,56.1866
97.7791,99.8657,56.1026,56.3986
99.0609,98.6842,55.9978,56.6038
99.2175,98.9665,56.7467,57.5112
98.9404,98.4525,58.0585,58.5062
99.0606,97.4782,59.0418,58.2043
98.7248,97.6698,59.8654,57.7536
96.3218,98.0392,59.661,57.6057
93.4816,97.1267,58.6103,57.4951
91.8813,97.3302,58.0304,57.3192
90.8463,98.892,57.8068,57.1007
92.4127,99.1404,58.1631,57.6324
94.2124,98.5695,59.3169,58.6429
92.4513,99.098,59.1779,59.8751
92.4513,100.295,57.163,61.3392
92.4513,100.4,55.6535,61.2161
92.4513,100.105,54.4542,59.9862
89.9078,100,53.613,58.5072
93.5217,99.9421,55.3444,56.8352
97.4854,99.2842,57.0342,56.0325
99.4921,98.9692,56.354,55.7203
99.4464,99.2959,55.6147,55.6202
98.7744,99.0417,55.634,55.8275
96.5739,98.3924,55.7373,56.2489
96.1598,98.0418,56.9777,57.9081
97.6346,98.3643,58.9772,59.3226
97.9628,98.1767,59.761,59.5588
97.8419,97.8947,59.761,59.761
97.2094,98.4023,59.4835,59.761
96.7742,98.6429,59.0148,59.8387
98.1161,98.3204,59.5554,60.446
100.156,98.6262,60.8814,60.8976
100.95,99.5059,60.6109,60.4098
100.946,99.4131,59.1701,59.7977
101.098,98.7099,58.2234,58.5333
101.351,98.8651,57.5525,57.4478
101.351,99.3377,57.8785,57.1212
100.185,99.058,59.2525,56.8182
98.3766,98.9404,59.129,56.7153
97.4133,99.0789,57.2189,56.6081
96.6234,98.8698,56.2819,57.061
95.8476,98.6842,56.6011,57.6052
94.875,99.011,57.2249,57.777
93.8442,99.0789,59.1802,57.8883
93.3238,98.9404,60.4024,57.464
93.1677,99.0789,58.9955,56.8083
92.9124,98.9404,58.0438,57.0399
92.795,99.0606,58.8481,57.8078
92.963,99.0293,59.7759,58.0268
92.7997,98.7025,61.5266,57.8032
93.4731,98.5191,62.8091,57.7871
94.3396,98.1966,61.9088,58.0107
94.6184,98.0808,61.4031,58.0192
95.283,98.73,62.0408,57.6851
95.9113,97.1986,62.7885,57.2956
95.8599,94.6995,63.5897,56.6499
95.9876,94.3396,63.0432,56.1655
96.5917,94.2072,60.8724,56.0607
96.5684,94.2072,59.3718,55.9701
95.6497,94.2072,58.5611,56.1789
95.5209,94.2072,58.3785,56.3893
95.9115,94.2072,58.953,56.6689
95.2212,94.2072,58.8467,56.9905
94.2373,88.9888,57.7195,57.6268
93.75,90.3422,57.0972,58.4066
93.2315,90.9091,57.3157,58.758
92.4824,91.1685,57.797,58.9887
92.8411,92.3431,59.4258,58.9764
95.1926,93.904,60.4136,58.8606
95.1926,94.7699,59.0068,60.5128
95.1926,95.2657,57.8981,63.1523
95.1926,96.5805,57.7868,63.1523
95.1926,98.0255,57.7668,63.1523
95.1926,98.9472,58.8011,63.1523
95.1926,100.067,59.6668,63.1523
95.1926,100.677,58.1954,63.1523
95.1926,101.361,56.8182,63.1523
95.1926,101.754,56.0227,63.1523
95.1926,101.633,55.1872,76.9231
104.299,102.084,56.0489,73.0549
102.933,102.555,57.211,68.1765
102.698,102.788,56.8123,64.3208
101.647,103.142,55.8544,61.4754
98.3221,102.761,55.4477,61.4754
96.6484,101.782,55.2435,61.9378
97.8146,101.633,55.6737,63.2514
98.797,101.757,57.17,63.9722
98.6411,101.544,58.3389,63.7006
96.5556,101.376,59.031,63.3232
93.9147,101.721,59.4918,62.9243
92.4174,101.732,59.3742,63.1247
92.0825,101.387,59.3768,63.6589
93.2812,101.351,59.7325,64.9645
92.3664,101.351,60.2143,66.383
90.1977,101.297,61.0785,65.8009
89.9113,100.957,61.1829,64.8101
89.8204,101,59.3885,63.9882
90.3604,101.074,58.2216,63.4657
90.7207,100.35,58.5636,64.1478
89.6519,99.6098,58.7104,64.436
87.2386,99.2802,58.1448,63.8881
85.2571,98.9535,57.5035,62.8347
85.9714,99.6379,55.9301,61.4194
88.2143,100.631,54.5455,60.7949
89.2857,100.478,55.2008,60.9183
87.7857,100.268,55.9132,60.2992
86.6695,100.524,56.8119,59.1082
87.9053,101.074,57.8966,58.8356
88.7574,101.351,57.9016,59.3006
89.7532,101.351,57.5675,60.0156
90.8726,101.569,57.8215,60.9914
90.3864,101.569,58.3827,61.2017
87.0231,101.569,59.9466,60.706
83.496,100.623,62.2953,60.0781
82.9967,99.6296,62.7598,59.3637
85.7531,99.6296,61.9784,58.6899
87.3753,104.167,61.3605,58.0085
86.2487,103.917,60.8607,57.493
85.8621,103.75,61.6014,57.0559
85.9744,104.14,62.7496,56.9685
87.5862,104.671,61.5266,57.4056
89.394,104.826,59.7759,58.2587
89.2899,104.102,59.7759,60.4043
89.5466,103.448,59.7759,62.1979
90.5282,103.448,59.7759,62.8518
91.0023,103.23,59.7759,62.3261
91.6818,102.876,59.7759,60.0923
92.9149,102.839,59.7759,59.1013
94.4236,103.151,68.1561,59.8101
95.0212,103.051,65.9924,59.5564
94.5112,103.077,63.8354,57.845
93.6224,103.716,64.0985,56.6364
93.4402,104.092,64.7563,56.0051
92.7995,104.167,65.6233,55.4657
91.125,104.167,65.6696,54.7637
89.8247,104.167,63.4755,54.1516
91.2112,104.178,61.79,54.3312
93.5647,104.543,61.286,54.5281
94.4258,104.572,61.0796,54.7596
95.0425,104.207,61.3295,55.0604
94.4881,104.167,61.0777,55.2565
93.75,104.167,60.2204,55.4608
93.9316,103.967,59.9816,55.7126
94.5385,103.293,60.4655,56.1303
95.4434,103.134,61.8744,56.0891
94.8365,103.448,64.2611,54.8721
93.2778,103.168,65.0487,53.9545
92.4055,103.034,64.3489,53.8578
91.5635,102.989,63.6846,53.7634
90.471,102.418,63.1459,53.3886
90.5367,102.08,64.2304,52.9153
91.5154,102.429,65.509,52.9635
91.35,102.084,63.5289,53.2455
89.3208,101.918,61.3481,53.6487
88.1802,102.573,60.0222,54.6336
89.1291,102.74,58.8565,55.2984
90.2812,102.74,59.4447,54.797
92.0564,102.74,59.9933,54.3478
92.9032,102.74,59.8738,54.086
91.9195,102.74,59.7842,53.7938
90.166,102.74,60.2681,53.8276
87.6693,102.536,60.7832,53.9243
88.0848,101.501,61.5391,53.9997
90.641,99.6778,62.6242,54.0971
91.9066,98.6842,65.2877,54.218
93.1219,98.3695,68.0929,54.5145
93.1759,96.6559,69.5204,54.7413
92.2043,94.9417,71.9423,54.6418
91.1155,94.7815,74.219,54.5455
89.5742,94.9367,74.8015,54.3006
88.2217,92.2468,74.5426,54.0063
88.9623,90.7785,74.3579,54.3187
91.1344,92.6852,72.3716,54.9138
92.6341,92.9815,69.6291,55.2353
93.4775,92.5926,69.6291,55.4395
93.9811,92.8042,69.6291,55.6981
94.7404,93.3543,69.6291,56.2222
95.96,94.0162,69.6291,56.6365
97.4116,94.3396,69.6291,56.8517
99.7615,94.3396,69.6291,57.0188
101.351,94.3396,69.6291,56.6972
101.123,94.4471,57.9088,56.391
99.9982,94.7456,57.3433,56.391
97.8726,94.9367,56.6877,56.391
95.4913,94.9367,57.2663,57.3543
92.6655,94.9367,58.1473,58.5705
90.5932,95.216,59.4479,60.3042
89.6715,96.1549,61.0027,62.2732
88.4337,97.1085,60.6619,65.1688
89.2376,97.6674,59.5685,67.8781
91.185,98.1818,58.6343,66.5576
91.5465,98.5578,57.7257,64.9351
90.9202,98.8,58.2703,64.9351
90.3614,99.4579,59.5347,63.8283
90.3614,99.3579,59.0628,61.0051
90.4556,99.2,57.5799,58.6397
90.7428,99.8421,56.7533,56.8764
91.4802,100,56.2213,56.4064
92.229,100,56.4739,59.3896
92.5131,100,57.7857,62.7778
92.5926,100,58.118,66.6358
92.5926,100,56.7022,69.2712
92.8318,100.188,55.6139,68.9526
93.9316,100.523,54.8087,67.3714
95.473,100.612,54.1516,65.5764
95.7212,100.277,55.7583,64.8143
95.7212,100,57.4182,64.3043
95.7212,100.26,57.279,63.3487
95.7212,100.4,57.0604,61.9624
95.7212,100.268,56.6214,58.9079
95.7212,100.53,56.0893,56.4329
95.7212,101.074,56.0364,57.3072
95.7212,101.009,56.1412,58.1395
95.7212,100.949,56.7784,57.4894
78.5878,100.862,57.9854,56.8288
80.6419,100.541,57.7764,57.0073
82.7255,100.968,55.9521,57.2241
84.3797,101.308,54.9986,57.0836
84.4015,100.632,55.2013,56.8668
83.8636,100.29,55.5173,56.4676
84.614,100.854,57.2537,55.9395
82.012,101.074,58.7614,56.7858
79.5961,100.946,57.6515,58.7852
80.9197,101.151,56.6038,59.5247
82.6967,101.735,56.5042,59.056
83.5211,101.718,56.3978,58.7173
83.0931,101.633,57.5616,58.4884
83.1381,101.955,59.0104,58.6504
82.847,101.767,57.9877,59.348
82.1639,101.224,56.3285,59.4819
81.9672,101.498,55.6421,58.7843
82.8698,102.041,55.1296,58.6057
84.281,101.746,55.6222,59.3033
85.252,101.633,57.1072,59.8416
87.4286,101.928,57.5017,60.0816
89.379,101.931,56.4252,59.7268
89.6429,101.633,55.508,58.2323
89.4782,101.743,54.4126,57.0416
88.5526,101.71,53.5714,56.1934
87.3399,101.365,54.2527,55.5738
86.5774,101.555,54.9396,55.7811
86.4999,101.476,56.2356,55.9701
86.9048,100.454,57.8329,57.4263
87.9264,99.2,57.4891,58.9687
89.9372,99.3421,56.6148,59.1616
92.1468,98.7097,56.8604,59.2783
92.7059,97.451,57.6224,58.0965
91.0494,97.1394,58.4822,56.7541
88.8935,95.6458,59.5246,56.8527
88.609,95.6348,59.2525,57.1767
87.8714,95.0514,57.8785,56.3425
86.2799,93.2661,57.0591,54.9893
86.402,92.9896,56.6286,55.2881
86.4541,91.2979,56.5287,56.8615
86.8316,91.8811,56.9592,57.736
88.0487,93.2204,56.9711,57.8473
89.2307,92.6499,55.7174,57.6039
88.3874,94.1279,54.7709,56.6314
86.6963,94.8972,55.5941,56.0259
86.5061,94.1038,56.391,56.3427
87.6658,93.508,57.3866,56.5744
88.9666,92.9348,58.488,56.0503
89.4717,92.9446,58.2079,55.5556
90,92.6327,57.7572,56.3155
89.759,92.4224,58.1312,57.1637
88.8782,92.9574,58.6968,56.9927
88.2456,93.1045,59.7994,56.6686
87.8337,91.9752,61.1254,56.3176
86.9268,92.1715,60.1677,55.8968
85.7276,93.6149,58.4998,55.9281
84.9399,93.5849,57.5101,56.2426
84.4506,93.8568,56.6358,56.1422
84.8591,93.8099,56.8421,55.5202
85.6838,93.0468,57.6041,54.9921
86.0937,92.5223,57.4094,54.3003
87.5128,91.8451,56.4369,53.7634
89.1146,91.184,55.6283,54.1513
90.1118,91.2928,54.719,54.5423
91.6609,91.8505,54.1831,54.4672
92.2972,92.1171,54.38,54.3684
91.818,93.2747,54.5455,54.3478
91.3039,93.6338,54.9319,54.3478
90.7051,93.2075,55.3345,54.4601
90.6616,93.985,55.7626,54.7587
90.6966,94.7098,56.2828,55.2088
89.9465,92.704,56.2513,56.5824
88.7994,91.3256,56.0408,57.8623
87.9546,92.6738,56.6523,59.3806
88.2832,93.1265,57.9641,60.3355
89.0664,92.555,57.9746,57.4436
89.2773,92.2427,56.6628,54.9451
89.0131,92.5267,55.64,54.5674
87.8902,92.4932,54.6333,54.1707
86.615,91.9286,54.0724,53.7291
86.2069,91.4634,55.1839,53.1551
86.8845,91.7751,56.1798,53.1376
87.7769,92.4133,55.0103,53.4215
88.0702,92.9538,53.8021,53.5056
87.934,93.1677,53.4151,53.2216
87.1143,93.7692,52.9418,53.0035
86.8784,94.6537,52.9477,53.4649
88.0322,94.9367,53.2297,53.9416
89.3186,94.9367,53.6157,54.3996
89.2497,95.4771,54.703,54.9947
88.2725,96.4853,55.4947,54.6454
87.5376,97.3077,54.4073,53.7623
86.2341,97.9101,53.3808,53.5671
86.1094,98.4211,53.3043,54.1495
87.4868,98.372,53.2097,54.5574
87.6115,98.5326,54.0745,54.6569
87.6402,98.9964,55.6743,54.7445
88.0294,98.8358,56.0844,56.1123
87.7412,98.7182,55.3615,57.5862
86.6045,99.045,54.8734,57.7868
86.7976,99.6344,54.5748,57.8981
88.4143,99.7351,54.3738,58.448
89.1041,99.6,55.1849,59.1347
88.49,99.9271,55.9701,60.3985
87.3907,100.4,54.8205,61.8746
86.9502,100.303,53.5258,60.6442
87.0238,100.301,53.2601,58.7068
86.7642,100.636,53.0714,57.5263
85.5504,100.671,53.2563,56.4333
84.0837,100.78,53.9284,58.427
83.8277,101.12,54.2507,58.427
85.1986,101.351,53.6725,58.427
86.8666,101.351,53.1915,58.427
88.1815,101.616,53.6293,58.427
88.5214,101.961,54.1094,63.4306
88.2604,101.897,55.4613,59.3333
88.2833,101.633,57.343,55.5556
88.5444,101.757,57.9151,57.1234
87.6964,101.677,57.9151,58.8731
86.0997,101.957,58.2297,59.8848
85.1549,102.651,58.7997,60.845
84.7458,102.552,59.5544,59.017
84.601,102.329,60.5147,56.8311
84.4511,102.516,59.769,57.6455
84.8366,102.74,57.5831,58.9878
84.4924,102.74,55.9076,60.3985
83.5455,102.146,54.2961,61.8746
83.3333,101.683,53.619,61.4168
83.9661,102.101,54.9137,60.4169
84.9048,102.114,55.8924,59.0888
85.5223,100.964,53.949,57.7039
86.5216,100.379,52.0833,58.8675
86.5116,100.357,53.2857,60.7441
85.1722,100.021,54.9193,60.6508
83.7017,100,56.4026,59.919
82.4889,99.8887,58.2549,58.6192
82.4781,99.6,58.6306,57.1478
83.5605,99.7113,57.8387,58.1984
84.4982,100,58.1461,60.2772
84.4787,100,59.6524,61.0622
83.9374,100.177,60.5407,61.1867
83.0309,100.513,60.6631,60.3409
83.0251,100.671,60.2078,59.1405
83.9511,100.671,59.1403,60.3783
84.2697,100.671,59.6862,62.6121
84.462,100.93,62.169,65.2474
85.0841,101.074,62.9842,67.8217
86.1177,100.815,61.9422,71.5332
87.7395,100.671,61.1051,75.4708
89.2835,100.671,60.4879,77.4244
89.9091,100.671,61.0874,73.3045
89.6472,102.905,62.4795,73.3045
89.5488,102.905,62.0452,73.3045
89.6429,96.4238,60.653,73.3045
89.5433,99.8268,59.5734,73.3045
89.9871,97.9788,58.6358,73.3045
90.3614,102.074,58.6684,73.3045
90.1861,100.874,59.1298,73.3045
89.6683,100.874,58.1089,73.3045
88.7806,100.874,56.2424,73.3045
87.9897,94.7721,55.7029,56.0491
88.0348,93.8649,56.015,56.783
88.4809,91.706,56.9855,58.0541
88.4358,91.5335,59.3834,59.5255
87.788,90.5322,60.8404,59.8604
87.0264,90.0974,60.4731,59.9799
86.5921,89.8032,60.2866,59.3202
87.6148,89.0012,60.4081,58.503
89.5664,88.7574,60.7278,58.8151
90.4071,89.2846,61.3501,59.3941
90.2084,89.9936,61.1296,59.5238
90.7208,90.3582,59.7929,59.5238
91.4634,90.7273,58.9117,58.5173
91.4634,91.1885,58.5671,57.1645
91.2892,91.6587,58.6169,56.8865
90.2003,91.9392,59.3145,56.9945
88.4385,92.0245,59.0208,57.208
87.8571,92.0245,56.9181,57.537
88.73,92.2472,55.4396,57.2137
89.5787,91.2177,54.8357,56.1453
89.6172,88.7639,54.3478,55.4676
89.4611,88.9619,56.2133,55.1624
89.6217,89.3257,58.1092,54.9768
89.2464,87.6901,57.7312,55.2821
89.9466,86.6545,57.2874,55.5556
91.4612,86.462,57.4334,55.4588
91.6883,87.531,57.6536,55.3563
92.0912,87.6069,58.7308,55.4301
92.3608,83.9691,60.1266,55.5326
92.6695,84.213,59.9409,55.4924
94.0669,87.01,59.2266,55.3899
95.8491,85.5312,58.3195,55.1702
97.4067,85.7983,57.3091,54.7677
98.0392,87.2093,57.7376,54.5701
97.6901,87.2093,58.8647,54.6697
96.7709,87.2093,59.2885,54.7672
95.4989,87.2093,59.2885,55.1727
93.4107,87.9091,58.702,55.5556
91.8158,89.2146,57.6837,55.1922
91.4155,89.8204,57.0453,54.7867
91.0055,90.2907,56.6148,54.8862
90.3038,90.9858,56.62,55.0875
89.6129,91.7399,57.2707,55.4755
88.8971,93.603,57.5153,56.0974
87.8873,94.6477,56.8647,56.9705
88.8736,94.557,56.4217,58.4193
90.1645,94.9766,56.6353,60.6202
89.6856,95.4782,56.8729,60.6202
89.0598,96.2663,58.5843,60.6202
88.2176,96.7742,60.2314,64.8084
87.0456,96.5583,59.9914,63.0933
86.386,96.5279,59.7534,61.2688
87.3176,97.1964,59.5172,61.0926
88.9581,98.1818,59.2943,61.5924
89.2941,98.3617,60.0144,60.9572
88.6277,98.543,60.7209,59.9734
88.5527,99.571,60.477,59.2196
89.4503,100.383,60.19,58.522
90.6981,100.609,58.9157,58.2843
91.6387,100.274,57.6923,58.1712
92.0245,100.33,58.0156,57.9928
90.7537,100.935,58.3523,57.7692
89.5404,101.49,58.9964,57.8863
89.7092,101.465,59.694,58.223
89.8204,100.657,58.6369,59.0443
90.0671,100.413,57.3824,60.3492
89.7168,100.671,57.0784,60.5749
88.4504,100.96,56.8616,59.849
86.9939,101.3,57.8305,58.8566
86.8361,101.351,59.3019,57.6118
87.8331,101.351,59.6803,57.0812
88.5088,101.313,59.5618,57.1901
89.0511,100.973,59.3682,57.8775
89.491,101.623,59.1339,59.7393
89.7583,102.657,59.5066,60.8851
89.8992,102.947,60.221,60.6393
90.7208,102.856,60.1728,60.6261
91.9061,102.207,59.6928,60.9964
92.4706,102.68,59.0864,61.8346
92.3784,103.836,58.3942,63.2737
91.2628,103.833,58.4659,63.8052
91.0799,103.202,59.0404,63.2665
91.5991,102.822,60.0216,62.2018
91.1545,102.893,61.369,60.9311
90.9091,103.345,60.953,61.0671
89.9193,103.949,59.2581,61.9455
